ICRISAT accession identifier,Race,Plant height (cm)-postrainy,Plant height (cm)-rainy,Plant pigmentation,Basal tillers number,Nodal tillering,Midrib color,Days to flowering-postrainy,Days to flowering-rainy,Panicle exertion (cm),Panicle length (cm),Panicle width (cm),Panicle compactness and shape,Glume color,Glume covering,Seed color,Seed lustre,Seed subcoat,Seed size (mm),100 Seed weight (g),Endosperm texture,Thresability,Shoot fly-rainy,Shoot fly-postrainy,Downy mildew % (field),Downy mildew % (glasshouse),Stem borer,Anthracnose,Grain mold,Leaf blight,Midge,Headbug,Rust,Strigol control,Protein (%),Lysine (%),Remarks,Year of characterization,Temperature,Humidity,Rainfall
7664,Guinea,330,380,Pigmented,1,Present,White,83,139,9,50,12,Loose stiff branches,Light red,One-fourth grain covered,White,Lustrous,Absent,3.8,4.12,Partly corneous,Partly threshable,Suceptible,NULL,45,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,103.1600037,10.2,2.1,NULL,NULL,26.3,85.3,148.1
7665,Guinea,310,490,Pigmented,1,Present,White,80,137,20,41.5,12,Loose stiff branches,Red,Grain uncovered,Light red,Lustrous,Absent,4,4.49,Partly corneous,Freely threshable,Suceptible,NULL,28,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,93.40000153,NULL,NULL,NULL,NULL,26.3,85.3,148.1
7666,Guinea,320,500,Pigmented,1,Present,White,77,138,21,42.5,19,Loose drooping branches,Light red,Grain uncovered,Light red,Lustrous,Absent,4,4.26,Partly corneous,Freely threshable,Suceptible,NULL,53,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,2-5% leaf area damaged,76.90000153,8.6,2.3,NULL,NULL,24.4,83.5,146.2
7667,Guinea-bicolor,280,440,Pigmented,1,Present,Dull green,84,143,24,51,6,Semi-loose stiff branches,Straw,Three-fourth grain covered,White,Lustrous,Absent,4.5,3.96,Partly corneous,Freely threshable,Suceptible,Suceptible,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2-5% leaf area damaged,105.5100021,10.4,2.1,NULL,NULL,23.3,82.4,145.1
7668,Guinea,230,340,Pigmented,1,Present,White,109,143,16,40,6,Loose drooping branches,Red,One-fourth grain covered,Light red,Lustrous,Absent,3,4.45,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.3,85.3,148.1
7669,Durra-bicolor,125,125,Pigmented,5,Present,Dull green,57,65,7,21,5,Semi-compact elliptic,Straw,Three-fourth grain covered,Reddish brown,Non-Lustrous,Present,3.7,3.72,Mostly starchy,Freely threshable,Highly suceptible,NULL,21,NULL,Susceptible,21-40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,91.23999786,NULL,NULL,NULL,NULL,23.3,82.4,145.1
7670,Guinea,290,310,Pigmented,5,Present,Dull green,72,123,13,49,17,Loose stiff branches,Straw,Grain uncovered,White,Lustrous,Absent,3,2.52,Partly corneous,Freely threshable,Highly suceptible,NULL,46,NULL,Susceptible,Few spots (about 1% leaf area damaged),NULL,NULL,NULL,NULL,6-20% leaf area damaged,100.0100021,11.1,2,NULL,NULL,26.3,85.3,148.1
7671,Caudatum-bicolor,280,400,Pigmented,1,Present,White,84,143,17,39,12,Loose stiff branches,Straw,Grain fully covered,Light red,Lustrous,Absent,4,4.44,Partly corneous,Freely threshable,Highly suceptible,NULL,9,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,1.230000019,NULL,NULL,NULL,NULL,26.3,85.3,148.1
7672,Guinea,280,410,Pigmented,2,Present,White,88,141,22,41.5,21,Loose stiff branches,Brown,One-fourth grain covered,Red,Lustrous,Absent,3.5,3.11,Partly corneous,Partly threshable,Suceptible,NULL,53,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,118.5100021,12.2,2.2,NULL,NULL,26.3,85.3,148.1
7673,Guinea,310,400,Pigmented,1,Present,White,77,136,NULL,71,20,Loose stiff branches,Brown,One-fourth grain covered,White and red mixed,Lustrous,Absent,3.5,2.86,Partly corneous,Partly threshable,Moderately resistant,NULL,10,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,6-20% leaf area damaged,93.05000305,NULL,NULL,NULL,NULL,26.3,85.3,148.1
