ICRISAT accession identifier,Race,Plant height (cm)-postrainy,Plant height (cm)-rainy,Plant pigmentation,Basal tillers number,Nodal tillering,Midrib color,Days to flowering-postrainy,Days to flowering-rainy,Panicle exertion (cm),Panicle length (cm),Panicle width (cm),Panicle compactness and shape,Glume color,Glume covering,Seed color,Seed lustre,Seed subcoat,Seed size (mm),100 Seed weight (g),Endosperm texture,Thresability,Shoot fly-rainy,Shoot fly-postrainy,Downy mildew % (field),Downy mildew % (glasshouse),Stem borer,Anthracnose,Grain mold,Leaf blight,Midge,Headbug,Rust,Strigol control,Protein (%),Lysine (%),Remarks,Year of characterization,Temperature,Humidity,Rainfall
18179,Bicolor,200,275,Pigmented,3,Present,White,63,66,5,26,26,Very loose stiff branches,Partly straw and brown,Grain fully covered,Brown,Lustrous,Absent,2,1.4,Partly corneous,Difficult to thresh,Moderately resistant,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18180,Bicolor,165,180,Pigmented,7,Present,Dull green,63,56,21,26,11,Semi-loose stiff branches,Red,Three-fourth grain covered,Purple,Non-Lustrous,Present,2.5,1.97,Partly corneous,Difficult to thresh,Moderately resistant,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18181,Kafir,125,180,Pigmented,2,Present,Dull green,62,65,14,23,4,Semi-compact elliptic,Straw,Half grain covered,White,Lustrous,Absent,2.5,2.08,Partly corneous,Freely threshable,Highly resistant,Suceptible,3,44,Highly susceptible,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18182,Kafir-durra,145,205,Pigmented,2,Present,Dull green,56,58,33,18,4,Semi-compact elliptic,Straw,Three-fourth grain covered,White,Lustrous,Absent,2.5,1.82,Mostly corneous,Freely threshable,Highly resistant,Highly suceptible,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18183,Kafir,120,130,Pigmented,2,Present,Dull green,54,52,28,18,3,Semi-compact elliptic,Straw,Half grain covered,White,Lustrous,Absent,2.5,2.4,Partly corneous,Freely threshable,Moderately resistant,NULL,14,NULL,Highly susceptible,NULL,NULL,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18184,Kafir,135,170,Pigmented,2,Present,Dull green,54,56,27,20,7,Semi-compact elliptic,Straw,Half grain covered,White,Lustrous,Absent,3,1.98,Partly corneous,Freely threshable,Highly resistant,Suceptible,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18185,Kafir,140,180,Pigmented,2,Present,White,63,58,22,26,6,Semi-compact elliptic,Partly straw and purple,Half grain covered,Light brown,Non-Lustrous,Present,2.5,2.28,Mostly starchy,Freely threshable,Moderately resistant,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18186,Durra,105,465,Pigmented,2,Present,Dull green,52,100,9,18,7,Semi-compact elliptic,Straw,One-fourth grain covered,Light red,Lustrous,Absent,3.5,2.02,Partly corneous,Freely threshable,Highly resistant,Highly suceptible,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18187,Durra,110,135,Pigmented,2,Present,White,56,53,28,24,4,Semi-compact elliptic,Straw,Half grain covered,White,Lustrous,Absent,3,2.14,Partly corneous,Freely threshable,Highly resistant,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18188,Durra,125,155,Pigmented,2,Present,Dull green,63,58,17,18,6,Semi-compact elliptic,Partly straw and purple,Three-fourth grain covered,White,Lustrous,Absent,2.8,4.04,Partly corneous,Partly threshable,Moderately resistant,NULL,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18189,Durra,120,160,Pigmented,2,Present,Dull green,61,55,24,16,6,Semi-compact elliptic,Straw,Half grain covered,Light red,Lustrous,Absent,2.8,3.19,Partly corneous,Freely threshable,Moderately resistant,NULL,41,NULL,Highly susceptible,NULL,Considerable mold growth and 26-50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,8,2.3,NULL,NULL,NULL,NULL,NULL
18190,Durra,115,115,Pigmented,3,Present,Dull green,56,56,24,20,6,Semi-compact elliptic,Straw,One-fourth grain covered,Straw,Lustrous,Absent,2.5,2.28,Mostly starchy,Freely threshable,Moderately resistant,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.5,2.1,NULL,NULL,NULL,NULL,NULL
18191,Caudatum-bicolor,160,210,Pigmented,3,Present,Dull green,75,67,14,24,8,Semi-compact elliptic,Straw,Half grain covered,Straw,Lustrous,Absent,2.5,1.83,Mostly corneous,Freely threshable,Moderately resistant,NULL,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.5,2.5,NULL,NULL,NULL,NULL,NULL
18192,Durra-bicolor,85,120,Tan,2,Present,Dull green,63,59,23,20,5,Semi-loose stiff branches,Straw,Half grain covered,Straw,Lustrous,Absent,3,2.33,Partly corneous,Partly threshable,Highly resistant,Highly suceptible,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,2.4,NULL,NULL,NULL,NULL,NULL
18193,Caudatum-bicolor,80,120,Tan,2,Present,Dull green,62,59,17,18,6,Semi-loose stiff branches,Straw,Half grain covered,Straw,Lustrous,Absent,3,2.31,Mostly corneous,Freely threshable,Highly resistant,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.7,2.6,NULL,NULL,NULL,NULL,NULL
18194,Caudatum-bicolor,100,125,Tan,2,Present,Dull green,61,55,26,26,5,Semi-loose stiff branches,Straw,Three-fourth grain covered,White,Lustrous,Absent,2.5,2.18,Partly corneous,Partly threshable,Highly resistant,Suceptible,21,NULL,Highly susceptible,NULL,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18195,Bicolor,85,230,Pigmented,2,Present,White,60,59,20,10,6,Semi-compact elliptic,Black,Three-fourth grain covered,Reddish brown,Non-Lustrous,Present,2.5,1.48,Completely starchy,Freely threshable,Highly resistant,Highly suceptible,24,NULL,NULL,>40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,9,2.5,NULL,NULL,NULL,NULL,NULL
18196,Caudatum-bicolor,120,205,Pigmented,2,Present,White,52,55,21,14,8,Semi-compact elliptic,Black,Half grain covered,Reddish brown,Non-Lustrous,Present,3,2.51,Completely starchy,Partly threshable,Moderately resistant,NULL,32,NULL,NULL,>40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18197,Caudatum-bicolor,80,110,Pigmented,1,Present,White,52,51,27,14,6,Semi-compact elliptic,Partly straw and brown,Half grain covered,Reddish brown,Lustrous,Absent,2.5,1.76,Completely starchy,Partly threshable,Moderately resistant,NULL,76,NULL,NULL,NULL,Scanty mold growth and up to 10% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,8.4,2.5,NULL,NULL,NULL,NULL,NULL
18198,Caudatum-bicolor,110,140,Pigmented,4,Present,White,58,62,27,16,10,Semi-compact elliptic,Partly straw and purple,Half grain covered,Reddish brown,Lustrous,Absent,2,2.4,Completely starchy,Partly threshable,Suceptible,NULL,8,NULL,NULL,21-40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18199,Caudatum,90,130,Pigmented,4,Present,White,58,60,17,15,6,Semi-compact elliptic,Partly straw and brown,Half grain covered,Reddish brown,Lustrous,Absent,2.5,1.72,Completely starchy,Partly threshable,Moderately resistant,NULL,22,NULL,NULL,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18200,Caudatum-bicolor,110,150,Pigmented,3,Present,White,57,52,26,23,3,Semi-compact elliptic,Black,Half grain covered,Reddish brown,Lustrous,Absent,2.5,2.08,Completely starchy,Freely threshable,Highly resistant,Suceptible,90,NULL,NULL,NULL,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18201,Guinea-caudatum,100,145,Pigmented,2,Present,White,56,52,20,16,3,Semi-compact elliptic,Straw,Half grain covered,Light red,Lustrous,Absent,3,3.35,Completely starchy,Partly threshable,NULL,Suceptible,48,NULL,NULL,NULL,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18202,Caudatum-bicolor,90,125,Pigmented,2,Present,White,54,53,29,13,6,Semi-compact elliptic,Black,Half grain covered,Reddish brown,Lustrous,Absent,2.8,2.46,Completely starchy,Partly threshable,Highly resistant,Suceptible,84,NULL,NULL,NULL,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18203,Caudatum-bicolor,90,150,Pigmented,2,Present,White,56,58,28,14,5,Semi-compact elliptic,Partly straw and brown,Half grain covered,Reddish brown,Lustrous,Absent,2.8,1.89,Mostly starchy,Partly threshable,Highly resistant,Suceptible,58,NULL,NULL,NULL,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18204,Durra-caudatum,105,155,Pigmented,2,Present,White,52,52,26,15,5,Semi-compact elliptic,Partly straw and brown,Half grain covered,Reddish brown,Lustrous,Absent,2.5,2.16,Completely starchy,Partly threshable,Highly resistant,Moderately resistant,56,NULL,NULL,NULL,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18205,Caudatum-bicolor,145,135,Pigmented,2,Present,White,56,55,12,16,10,Semi-loose stiff branches,Partly straw and brown,Grain fully covered,Reddish brown,Lustrous,Absent,2.8,2.43,Mostly starchy,Partly threshable,Highly resistant,Suceptible,84,NULL,NULL,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18206,Caudatum-bicolor,100,185,Pigmented,2,Present,White,56,52,31,13,4,Semi-compact elliptic,Straw,Half grain covered,Light red,Lustrous,Absent,2.8,2.08,Partly corneous,Partly threshable,Highly resistant,Suceptible,77,NULL,NULL,NULL,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,9.7,2,NULL,NULL,NULL,NULL,NULL
18207,Durra-caudatum,120,160,Pigmented,3,Present,White,61,52,27,15,4,Semi-compact elliptic,Black,One-fourth grain covered,Reddish brown,Lustrous,Absent,2.8,2.06,Completely starchy,Partly threshable,Moderately resistant,NULL,90,NULL,NULL,NULL,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18208,Caudatum-bicolor,105,140,Pigmented,2,Present,White,54,55,29,14,5,Semi-compact elliptic,Black,One-fourth grain covered,Reddish brown,Lustrous,Absent,2.8,2,Mostly starchy,Partly threshable,Highly resistant,Suceptible,85,NULL,NULL,NULL,Scanty mold growth and up to 10% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18209,Durra-caudatum,90,435,Pigmented,2,Present,White,56,127,27,14,5,Semi-compact elliptic,Straw,Half grain covered,Reddish brown,Lustrous,Absent,3,2.74,Completely starchy,Freely threshable,Highly resistant,Suceptible,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18210,Bicolor,100,130,Pigmented,1,Present,White,52,55,19,17,5,Semi-compact elliptic,Partly straw and brown,Three-fourth grain covered,Reddish brown,Lustrous,Absent,2.5,1.97,Mostly starchy,Partly threshable,Moderately resistant,NULL,30,NULL,NULL,NULL,Scanty mold growth and up to 10% grain surface area molded,NULL,NULL,NULL,NULL,NULL,9.1,2.2,NULL,NULL,NULL,NULL,NULL
18211,Caudatum-bicolor,85,125,Pigmented,1,Present,White,54,47,19,11,4,Semi-compact elliptic,Straw,Three-fourth grain covered,Reddish brown,Lustrous,Absent,2.5,3,Mostly starchy,Partly threshable,Highly resistant,NULL,66,NULL,NULL,NULL,Scanty mold growth and up to 10% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,9.9,2.1,NULL,NULL,NULL,NULL,NULL
18212,Bicolor,90,320,Pigmented,1,Present,White,52,65,25,13,5,Semi-compact elliptic,Partly straw and brown,Three-fourth grain covered,Reddish brown,Non-Lustrous,Present,2.5,2.12,Mostly starchy,Partly threshable,Highly resistant,Highly suceptible,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.1,2,NULL,NULL,NULL,NULL,NULL
18213,Caudatum-bicolor,105,135,Pigmented,2,Present,White,54,50,29,17,6,Semi-compact elliptic,Straw,Three-fourth grain covered,Light red,Lustrous,Absent,2.8,3.08,Partly corneous,Partly threshable,Highly resistant,Suceptible,87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21-40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18214,Guinea-caudatum,100,125,Pigmented,3,Present,White,54,52,24,18,9,Semi-compact elliptic,Partly straw and brown,Half grain covered,Reddish brown,Lustrous,Absent,2.8,2.93,Mostly starchy,Partly threshable,Highly resistant,Moderately resistant,76,NULL,NULL,NULL,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,8.9,2.1,NULL,NULL,NULL,NULL,NULL
18215,Caudatum-bicolor,105,135,Pigmented,3,Present,White,52,52,27,16,7,Semi-loose stiff branches,Black,Half grain covered,Reddish brown,Lustrous,Absent,2.8,2.67,Completely starchy,Partly threshable,Moderately resistant,Suceptible,96,NULL,NULL,NULL,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18216,Caudatum-bicolor,90,150,Pigmented,2,Present,White,52,55,24,15,3,Semi-loose stiff branches,Black,Half grain covered,Reddish brown,Lustrous,Absent,2.8,2.55,Mostly starchy,Partly threshable,Highly resistant,Suceptible,89,NULL,NULL,NULL,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18217,Caudatum,100,160,Pigmented,1,Present,White,52,55,12,15,3,Semi-compact elliptic,Black,Half grain covered,Reddish brown,Non-Lustrous,Present,2.5,2.7,Completely starchy,Freely threshable,NULL,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18218,Caudatum-bicolor,65,140,Pigmented,2,Present,White,52,53,12,14,6,Semi-compact elliptic,Straw,Three-fourth grain covered,Light red,Lustrous,Absent,2.8,2.47,Partly corneous,Partly threshable,Highly resistant,Moderately resistant,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18219,Caudatum,85,240,Pigmented,2,Present,White,52,62,19,19,4,Semi-compact elliptic,Black,One-fourth grain covered,Reddish brown,Non-Lustrous,Absent,2.8,2.07,Mostly starchy,Partly threshable,Moderately resistant,Highly resistant,18,NULL,Moderately susceptible,NULL,Scanty mold growth and up to 10% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18220,Caudatum-bicolor,140,205,Pigmented,2,Present,White,63,70,18,24,9,Semi-loose stiff branches,Partly straw and brown,One-fourth grain covered,Chalky white,Non-Lustrous,Present,3,2.78,Mostly starchy,Freely threshable,Moderately resistant,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18221,Caudatum-bicolor,145,145,Pigmented,2,Present,White,56,60,22,27,10,Semi-compact elliptic,Black,Half grain covered,Light red,Lustrous,Absent,3,2.42,Mostly starchy,Partly threshable,Moderately resistant,NULL,40,NULL,Highly susceptible,NULL,Considerable mold growth and 26-50% grain surface area molded,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18222,Guinea-caudatum,105,180,Pigmented,2,Present,White,46,58,21,21,5,Semi-loose stiff branches,Straw,Half grain covered,Reddish brown,Non-Lustrous,Present,2.8,2.96,Mostly starchy,Partly threshable,Moderately resistant,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18223,Guinea-bicolor,140,250,Pigmented,3,Present,White,54,55,6,23,11,Semi-compact elliptic,Straw,Half grain covered,White,Lustrous,Absent,3,3.09,Mostly corneous,Freely threshable,Moderately resistant,Suceptible,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18224,Kafir,120,120,Pigmented,2,Present,White,62,69,4,27,7,Semi-compact elliptic,Straw,Three-fourth grain covered,Straw,Lustrous,Absent,2.5,2.29,Mostly corneous,Partly threshable,Suceptible,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18225,Durra-caudatum,140,250,Pigmented,3,Present,White,62,70,14,23,7,Semi-compact elliptic,Straw,Half grain covered,Straw,Lustrous,Absent,3,2.53,Mostly corneous,Freely threshable,Highly resistant,Highly suceptible,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18226,Guinea-durra,135,245,Pigmented,2,Present,White,56,58,22,19,9,Semi-compact elliptic,Straw,Grain fully covered,White,Lustrous,Absent,3,3.41,Mostly corneous,Freely threshable,Moderately resistant,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18227,Durra,210,240,Pigmented,2,Present,White,57,67,29,22,10,Semi-compact elliptic,Straw,Half grain covered,Straw,Lustrous,Absent,3.5,2.85,Mostly corneous,Freely threshable,Highly resistant,Suceptible,17,NULL,Highly susceptible,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18228,Durra-bicolor,155,220,Pigmented,4,Present,White,49,55,25,22,9,Semi-compact elliptic,Straw,Three-fourth grain covered,White,Lustrous,Absent,2.8,2.97,Partly corneous,Freely threshable,Suceptible,NULL,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,>40% leaf area damaged,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18229,Durra-bicolor,160,265,Pigmented,2,Present,White,52,58,22,23,12,Semi-loose stiff branches,Straw,Half grain covered,White,Lustrous,Absent,3,3.03,Mostly corneous,Freely threshable,Moderately resistant,Highly suceptible,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18230,Durra-bicolor,130,255,Pigmented,2,Present,White,52,56,28,19,9,Semi-loose stiff branches,Straw,Three-fourth grain covered,White,Lustrous,Absent,2.8,2.74,Mostly corneous,Freely threshable,Moderately resistant,NULL,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18231,Durra-bicolor,140,220,Pigmented,2,Present,White,57,55,26,19,6,Semi-compact elliptic,Straw,Three-fourth grain covered,White,Lustrous,Absent,3,2.77,Mostly corneous,Freely threshable,Highly resistant,Highly suceptible,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18232,Caudatum-bicolor,155,195,Pigmented,2,Present,White,52,60,18,18,7,Semi-compact elliptic,Straw,Half grain covered,Reddish brown,Lustrous,Absent,2.5,2.67,Partly corneous,Freely threshable,Highly resistant,Suceptible,63,NULL,Highly susceptible,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.4,2.4,NULL,NULL,NULL,NULL,NULL
18233,Durra-bicolor,140,230,Pigmented,2,Present,White,52,55,24,16,5,Semi-compact elliptic,Straw,Three-fourth grain covered,White,Lustrous,Absent,2.8,1.82,Mostly corneous,Freely threshable,Moderately resistant,Suceptible,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.5,2,NULL,NULL,NULL,NULL,NULL
18234,Guinea-caudatum,150,265,Pigmented,3,Present,White,72,121,15,19,6,Semi-loose stiff branches,Straw,One-fourth grain covered,Brown,Non-Lustrous,Present,2.5,1.73,Mostly starchy,Freely threshable,Moderately resistant,NULL,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21-40% leaf area damaged,NULL,12.9,1.9,NULL,NULL,19.6,77.2,144.3
18235,Durra-caudatum,150,200,Pigmented,2,Present,White,64,61,8,16,10,Semi-loose stiff branches,Straw,Half grain covered,Reddish brown,Non-Lustrous,Present,2.5,1.83,Mostly starchy,Freely threshable,Moderately resistant,Suceptible,13,NULL,Moderately resistant,>40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,NULL,NULL,7.5,2.5,NULL,NULL,23.5,81.1,148.3
18236,Guinea,210,320,Pigmented,2,Present,White,72,114,7,27,9,Loose stiff branches,Straw,One-fourth grain covered,Light brown,Non-Lustrous,Present,2.5,2.1,Mostly corneous,Freely threshable,Highly resistant,Moderately resistant,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.6,2,NULL,NULL,17.7,75.4,142.4
18237,Guinea,205,325,Pigmented,3,Present,White,83,114,15,30,17,Semi-loose stiff branches,Straw,One-fourth grain covered,Light brown,Non-Lustrous,Present,2.8,2.16,Mostly corneous,Freely threshable,NULL,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,2,NULL,NULL,19.6,77.2,144.3
18238,Caudatum-bicolor,200,200,Pigmented,1,Present,White,51,55,37,24,12,Semi-loose stiff branches,Straw,Half grain covered,Reddish brown,Non-Lustrous,Present,2.8,2.92,Mostly starchy,Partly threshable,Moderately resistant,NULL,33,NULL,Susceptible,>40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,74.5,142
18239,Guinea,210,305,Pigmented,2,Present,White,60,108,12,34,22,Semi-loose stiff branches,Straw,One-fourth grain covered,Light brown,Non-Lustrous,Present,2.5,1.76,Partly corneous,Freely threshable,Moderately resistant,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.9,2.2,NULL,NULL,NULL,NULL,NULL
18240,Guinea,210,235,Pigmented,3,Present,White,69,110,12,29,26,Very loose drooping branches,Straw,One-fourth grain covered,Light brown,Non-Lustrous,Present,2.5,1.73,Partly corneous,Freely threshable,Highly resistant,Suceptible,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.5,1.9,NULL,NULL,NULL,NULL,NULL
18241,Guinea,195,200,Tan,2,Present,White,68,125,5,34,24,Loose stiff branches,Yellow,Grain uncovered,Light brown,Non-Lustrous,Present,2.5,2.13,Partly corneous,Freely threshable,Highly resistant,Suceptible,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21-40% leaf area damaged,NULL,14.5,2,NULL,NULL,NULL,NULL,NULL
18242,Caudatum-bicolor,135,180,Pigmented,2,Present,White,61,67,18,28,20,Loose stiff branches,Straw,Half grain covered,White,Lustrous,Absent,2.8,2.58,Partly corneous,Freely threshable,Highly resistant,Highly suceptible,21,NULL,Susceptible,>40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18243,Durra-caudatum,130,130,Pigmented,2,Present,White,64,58,24,24,7,Loose stiff branches,Straw,One-fourth grain covered,Light red,Lustrous,Absent,2.5,2.77,Partly corneous,Freely threshable,Highly resistant,NULL,59,NULL,Resistant,>40% leaf area damaged,Extensive mold growth and more than 50% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18244,Caudatum-bicolor,200,230,Pigmented,1,Present,Dull green,73,58,NULL,21,8,Semi-loose stiff branches,Black,Three-fourth grain covered,Light brown,Non-Lustrous,Present,2.5,2.77,Mostly corneous,Difficult to thresh,Moderately resistant,NULL,57,NULL,Moderately susceptible,>40% leaf area damaged,Considerable mold growth and 11-25% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18245,Caudatum-bicolor,160,260,Pigmented,1,Present,White,57,71,22,29,8,Loose stiff branches,Straw,Three-fourth grain covered,White,Lustrous,Absent,2.8,4.1,Mostly corneous,Freely threshable,Highly suceptible,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18246,Guinea-caudatum,200,240,Pigmented,2,Present,Dull green,71,72,21,24,7,Semi-loose stiff branches,Red,Half grain covered,Brown,Non-Lustrous,Present,2.5,2.3,Mostly starchy,Partly threshable,Highly suceptible,NULL,39,NULL,Susceptible,>40% leaf area damaged,Considerable mold growth and 26-50% grain surface area molded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18248,Guinea,225,425,Pigmented,1,Present,White,64,87,22,25,8,Semi-loose stiff branches,Partly straw and purple,Half grain covered,Reddish brown,Non-Lustrous,Absent,2.8,3.43,Completely starchy,Freely threshable,Highly suceptible,NULL,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.8,2.4,NULL,NULL,NULL,NULL,NULL
18249,Guinea,225,435,Pigmented,1,Present,White,65,96,32,31,19,Loose drooping branches,Black,One-fourth grain covered,Straw,Lustrous,Absent,2.8,3.29,Completely corneous,Freely threshable,Highly suceptible,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.1,1.8,NULL,NULL,NULL,NULL,NULL
18250,Guinea,210,460,Pigmented,2,Present,White,56,89,24,26,7,Semi-loose stiff branches,Black,Half grain covered,Reddish brown,Lustrous,Absent,2.8,2.89,Partly corneous,Freely threshable,Highly suceptible,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,2.1,NULL,NULL,NULL,NULL,NULL
