ICRISAT accession identifier,Plant height (cm),Plant width (cm),Plant pigmentation,Growth habit,Basal primary branches number,Apical primary branches number,Basal secondary branches number,Apical secondary branches number,Tertiary branches number,Days to flowering,Flowering duration,Flower color,Days to maturity,Pods per plant,Seeds per pod,Seed yield (Kg/ha),Seed color,Dots on seed coat,Seed shape,Seed surface,100 Seed weight (g),Protein (%),Wilt,Ascochyta blight,Colletotrichum blight,Botrytis grey mold,Pod borer,Year of Characterization,Temperature,Humidity,Rainfall
9793,19,26.3,No anthocyanin,Semi-erect,1.7,1.3,0.7,4.7,1.3,43,45,Light pink,108,17,1.1,570,Salmon brown,Absent,Pea,Smooth,15,19.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,39,72,1063.3
9794,22,29.3,No anthocyanin,Semi-erect,2.3,1.3,0.7,1.3,1,43,45,Light pink,108,18,1.1,400,Salmon brown,Absent,Owl's head,Smooth,13,19.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.6,70,1068.6
9795,25,32.3,No anthocyanin,Semi-erect,1.3,2.3,0.7,2.7,1.3,50,38,Light pink,104,13,1.1,270,Salmon brown,Absent,Owl's head,Smooth,12,21.4,Susceptible,NULL,Susceptible,NULL,NULL,NULL,37.7,70,1063.3
9796,23,30.7,No anthocyanin,Semi-erect,1,2.3,NULL,3,NULL,52,36,Light pink,103,13,1,130,Salmon brown,Absent,Owl's head,Smooth,13,19.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,39.4,72.6,1063.4
9797,40,27,No anthocyanin,Semi-erect,1.3,1.3,1.3,2.3,5.3,69,47,Light pink,129,37,1,1380,Brown,Absent,Pea,Smooth,17,17.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,39.5,72.8,1072.7
9798,41,35.3,No anthocyanin,Semi-erect,2,2.3,1.7,1.3,4.7,66,42,Light pink,131,31,1.3,1220,Brown,Absent,Pea,Smooth,16,17,Susceptible,NULL,Susceptible,NULL,NULL,NULL,39.4,72.6,1063.4
9799,46,44.3,No anthocyanin,Semi-erect,2.3,3.3,4,3.7,1.7,64,42,Light pink,146,21,1.2,1000,Brown,Absent,Pea,Smooth,17,18.8,Susceptible,NULL,Susceptible,NULL,NULL,NULL,40.1,73.7,1051.5
9800,38,32,No anthocyanin,Semi-erect,1.3,1.3,2,4.3,4.3,66,35,Light pink,123,40,1,1290,Brown,Absent,Pea,Smooth,19,19.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,40.1,73.7,1051.5
9801,44,50.7,No anthocyanin,Semi-spreading,2.3,2,2,2.7,1.7,63,33,White,113,38,1.2,1070,Beige,Absent,Owl's head,Smooth,15,21.8,Susceptible,NULL,Susceptible,NULL,NULL,NULL,40.7,74.5,1052.2
9802,33,29.7,No anthocyanin,Semi-erect,3.3,2.7,1.3,0.7,NULL,62,30,Light pink,108,8,1,200,Brownish beige,Absent,Angular,Rough,22,17.9,Susceptible,NULL,Susceptible,NULL,NULL,NULL,39.6,73,1009.9
9803,36,28,No anthocyanin,Semi-erect,2,1.3,3.7,2.7,3,66,42,Light pink,127,18,1.6,1420,Brown,Absent,Pea,Smooth,17,20.8,Susceptible,NULL,Susceptible,NULL,NULL,NULL,41.7,76.1,1035.7
9804,35,34,No anthocyanin,Semi-erect,1.7,1.7,3,3.7,5.7,66,38,Light pink,129,54,1.2,1440,Salmon brown,Absent,Owl's head,Smooth,16,21,Susceptible,NULL,Susceptible,NULL,NULL,NULL,41.5,75.8,1026.5
9805,40,39,No anthocyanin,Semi-erect,1,0.7,2.7,2.3,3.7,65,38,Light pink,123,40,1.1,1440,Brown,Absent,Pea,Smooth,16,20.8,Susceptible,NULL,Susceptible,NULL,NULL,NULL,41.7,76.1,1035.7
9806,42,30,No anthocyanin,Semi-erect,1.3,0.7,3.7,1,3.3,81,20,Light pink,128,29,1,1200,Brown,Absent,Pea,Smooth,23,20.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,41.5,75.8,1026.5
9807,42,34,No anthocyanin,Semi-erect,2.3,1.3,3,2.3,3.3,77,31,Light pink,127,33,1.1,1220,Brown,Absent,Pea,Smooth,23,20.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,39.6,73,1009.9
9808,41,39.3,No anthocyanin,Semi-erect,1.3,1.3,3.3,3.3,4.7,81,33,Light pink,125,28,1.8,1310,Brown,Absent,Pea,Smooth,19,20.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,39.6,73,1009.9
