ICRISAT accession identifier,Plant height (cm),Plant width (cm),Plant pigmentation,Growth habit,Basal primary branches number,Apical primary branches number,Basal secondary branches number,Apical secondary branches number,Tertiary branches number,Days to flowering,Flowering duration,Flower color,Days to maturity,Pods per plant,Seeds per pod,Seed yield (Kg/ha),Seed color,Dots on seed coat,Seed shape,Seed surface,100 Seed weight (g),Protein (%),Wilt,Ascochyta blight,Colletotrichum blight,Botrytis grey mold,Pod borer,Year of Characterization,Temperature,Humidity,Rainfall
3900,47,56.7,Low anthocyanin,Semi-spreading,2.7,1.3,1.3,5.7,1.3,65,26,Light pink,112,27,1.1,960,Salmon brown,Present,Pea,Smooth,19,23,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3901,34,40,Low anthocyanin,Semi-erect,3,NULL,2,NULL,NULL,67,23,Light pink,118,8,1,190,Light brown,Present,Angular,Rough,19,18.9,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3902,30,34,Low anthocyanin,Semi-spreading,2,NULL,2.3,4.7,1.7,64,57,Pink,153,41,1,1070,Black,Absent,Angular,Rough,10,20,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3903,45,37,Low anthocyanin,Semi-erect,2.3,1.3,2.7,4,5.3,75,33,Pink,130,40,1.4,1110,Black,Absent,Angular,Rough,12,22.8,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3904,36,36.7,Low anthocyanin,Semi-erect,3.7,NULL,3.3,6.3,0.3,70,32,Pink,117,46,1,1230,Yellow brown,Present,Angular,Rough,12,19,Moderately resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3905,39,32,Low anthocyanin,Semi-erect,2,0.7,3.7,4,5.3,72,37,Pink,130,43,1.4,1110,Black,Absent,Angular,Rough,11,23.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3906,30,30.3,Low anthocyanin,Semi-spreading,3,NULL,1.7,4.7,2.3,85,54,Pink,159,45,1.4,1270,Black,Absent,Angular,Rough,9,18.9,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3907,31,29.7,Low anthocyanin,Semi-erect,2.7,1.3,NULL,3,NULL,51,41,Pink,105,20,1,630,Dark brown,Absent,Angular,Rough,14,16,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3908,36,28,Low anthocyanin,Semi-erect,2.3,1.3,0.7,1.3,3.3,73,38,Pink,142,23,1.5,1470,Black,Absent,Angular,Rough,11,18,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3909,43,41,Low anthocyanin,Semi-erect,2.7,NULL,0.7,3.3,NULL,61,26,Pink,114,19,1.3,500,Light brown,Absent,Angular,Rough,14,NULL,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3910,41,33.3,Low anthocyanin,Semi-erect,2.3,1,2.7,3,NULL,61,46,Pink,115,15,1.2,420,Black,Absent,Angular,Rough,11,18,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3911,47,55.9,Low anthocyanin,Semi-spreading,2.2,4.4,2.2,0.2,0,64,25,Pink,107,39,1,250,Black,Absent,Angular,Rough,9.6,21.78,Susceptible,Susceptible,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3912,36,34,Low anthocyanin,Semi-spreading,2.7,NULL,NULL,2.7,NULL,70,43,Pink,118,10,2.1,370,Black,Absent,Angular,Rough,10,17.7,Susceptible,Moderately susceptible,Susceptible,Susceptible,NULL,NULL,36.4,68.1,896.4
3913,50,37,Low anthocyanin,Semi-erect,1.7,1,3,5,3.7,80,17,Pink,138,40,1.4,800,Black,Absent,Angular,Rough,12,22.5,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3914,54,57.6,Low anthocyanin,Semi-erect,6.4,5.6,7,4.4,0.8,56,24,Pink,93,66,1.8,600,Black,Absent,Angular,Rough,10.2,20.05,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3915,37,36.7,Low anthocyanin,Semi-erect,1.7,NULL,3.3,1.3,5,82,27,Pink,139,35,1.7,1070,Black,Absent,Angular,Rough,10,21.2,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3916,31,33,Low anthocyanin,Semi-spreading,2,NULL,3.3,2,NULL,67,48,Pink,117,15,1.1,380,Black,Absent,Angular,Rough,9,19.5,Susceptible,Moderately susceptible,Moderately susceptible,Susceptible,NULL,NULL,36.4,68.1,896.4
3917,58,61.4,Low anthocyanin,Semi-erect,3.6,4.8,4.8,4.8,0.2,57,30,Pink,105,92,1.5,560,Black,Absent,Angular,Rough,9.8,17.05,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,2022 PR,NULL,NULL,NULL
3918,34,44,Low anthocyanin,Semi-spreading,2.7,NULL,4.7,1.3,NULL,80,44,Pink,116,13,1.2,430,Black,Absent,Angular,Rough,9,18.9,Susceptible,Moderately susceptible,Susceptible,Moderately susceptible,NULL,NULL,36.4,68.1,896.4
3919,32,34,Low anthocyanin,Semi-spreading,3,NULL,4,5,3,85,44,Pink,160,64,1.5,1070,Black,Absent,Angular,Rough,8,18.1,Susceptible,Moderately susceptible,Moderately susceptible,Susceptible,NULL,NULL,36.4,68.1,896.4
3920,26,33.3,Low anthocyanin,Semi-erect,3,0.3,4,1.7,NULL,59,38,Pink,105,21,1.1,610,Brown,Present,Angular,Rough,14,23.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3921,28,37,Low anthocyanin,Semi-spreading,2.3,NULL,3,1.7,NULL,80,39,Pink,116,13,1.1,360,Black,Absent,Angular,Rough,10,20.3,Susceptible,Moderately susceptible,Susceptible,Susceptible,NULL,NULL,36.4,68.1,896.4
3922,30,37.3,Low anthocyanin,Semi-erect,2.3,2,1.7,3.3,NULL,61,39,Pink,107,32,1.4,910,Brown,Present,Angular,Rough,11,22.9,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3924,43,46.7,Low anthocyanin,Semi-erect,2,2,2,4.3,NULL,59,46,Pink,117,21,1.3,660,Black,Absent,Angular,Rough,10,17.9,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3925,44,42,Low anthocyanin,Semi-erect,1.7,NULL,2,0.7,1.7,74,34,Pink,134,18,1.4,980,Black,Absent,Angular,Rough,11,18.7,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3926,29,38.3,Low anthocyanin,Semi-erect,4.3,1.3,2,0.3,NULL,61,39,Pink,106,29,1.5,580,Brown,Present,Angular,Rough,10,19.5,Moderately resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3927,43,51,Low anthocyanin,Semi-spreading,2.7,1.7,3.3,3,1,64,24,Pink,110,34,1.2,840,Black,Absent,Angular,Rough,11,22.2,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3928,36,39.3,Low anthocyanin,Semi-erect,2.7,0.7,1,2.7,NULL,67,26,Pink,116,12,1.8,340,Black,Absent,Angular,Rough,10,18.5,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3929,26,30,Low anthocyanin,Semi-spreading,2.7,NULL,1,2.7,NULL,61,40,Pink,107,25,1.4,530,Brown,Present,Angular,Rough,10,22.8,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3930,32,33.7,Low anthocyanin,Semi-erect,3,3.7,1.7,5.7,NULL,67,45,Pink,118,15,1.2,460,Black,Absent,Angular,Rough,9,17.6,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3931,35,43.3,Low anthocyanin,Semi-erect,2.7,NULL,2.7,4,NULL,73,37,Pink,115,10,1.4,590,Black,Absent,Angular,Rough,10,17.6,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3932,35,31.7,Low anthocyanin,Semi-erect,2.7,NULL,2,4.7,5.7,76,45,Pink,157,44,1.3,1130,Black,Absent,Angular,Rough,9,19.2,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3933,36,32.7,Low anthocyanin,Semi-spreading,2.3,0.7,5.3,6,6.7,80,31,Pink,138,67,1.4,1040,Black,Absent,Angular,Rough,13,23.2,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3934,41,42.3,Low anthocyanin,Semi-erect,2.7,NULL,1.7,5.7,NULL,67,45,Pink,114,13,1.4,600,Black,Absent,Angular,Rough,10,23.6,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3935,31,46,High anthocyanin,Semi-erect,2.7,0.7,4.7,7,5.7,72,32,Pink,123,25,1.2,1850,Brown,Present,Angular,Rough,13,24.4,Resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3936,45,49,Low anthocyanin,Semi-spreading,2,NULL,0.7,4.7,NULL,67,30,Pink,116,17,1.5,520,Black,Absent,Angular,Rough,11,23.3,Moderately resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3937,41,45,Low anthocyanin,Semi-erect,2.3,2.3,1,2.7,NULL,59,38,Pink,113,11,2,520,Black,Absent,Angular,Rough,9,18.5,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3938,39,35.7,No anthocyanin,Semi-erect,2.3,NULL,0.7,4.7,NULL,69,41,Light pink,153,21,1.4,970,Brownish beige,Absent,Angular,Rough,15,18.4,Susceptible,Moderately susceptible,Moderately susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3939,41,48.3,Low anthocyanin,Semi-spreading,6,4.6,5.6,3.6,0.2,59,27,Pink,101,47,1.4,500,Yellow brown,Present,Angular,Rough,10.4,20.24,Moderately resistant,Susceptible,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3940,64,74.8,Low anthocyanin,Semi-spreading,3.8,5,4.4,3.2,0,64,16,Pink,100,24,1.2,370,Black,Absent,Angular,Rough,8.5,19.17,Susceptible,Moderately susceptible,Susceptible,Moderately susceptible,NULL,2022 PR,36.4,68.1,896.4
3941,49,56.2,Low anthocyanin,Semi-erect,4.8,4,6.4,7,0.6,61,27,Pink,105,23,1.4,340,Black,Absent,Angular,Rough,11.2,19.94,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3942,31,40,Low anthocyanin,Semi-erect,2.3,1.3,2.3,3.3,NULL,51,25,Pink,104,25,1.3,680,Brown,Present,Angular,Rough,11,17,Moderately resistant,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3943,35,42,Low anthocyanin,Semi-erect,2,1.7,0.7,3.3,NULL,51,22,Pink,102,33,1.1,1010,Black,Absent,Angular,Rough,10,24.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3944,30,34.7,Low anthocyanin,Semi-erect,3,1.3,3,7,2,61,30,Pink,109,50,1.2,1470,Brown,Present,Angular,Rough,16,23.9,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3945,40,35.3,Low anthocyanin,Semi-erect,2,NULL,1.3,5.7,1,69,52,Pink,153,28,1.5,1050,Black,Absent,Angular,Rough,11,18.4,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3946,44,55.3,Low anthocyanin,Semi-spreading,2.3,0.3,4.3,2.7,NULL,67,36,Pink,118,25,1.4,440,Black,Absent,Angular,Rough,9,20.4,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3947,51,42.7,Low anthocyanin,Semi-erect,3,1.7,3.3,6.7,5,75,36,Pink,138,43,1.6,1290,Black,Absent,Angular,Rough,12,23.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3948,44,45.6,Low anthocyanin,Semi-erect,3.8,5.2,5,3.4,0.2,59,29,Pink,107,120,1.4,740,Yellow brown,Present,Angular,Rough,12.1,22.13,Resistant,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3949,50,56.2,Low anthocyanin,Semi-erect,4.2,5.6,4.4,3.4,0.2,63,18,Pink,101,63,1.6,960,Yellow brown,Present,Angular,Rough,11,22.16,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3950,57,64.8,Low anthocyanin,Semi-spreading,4.2,5.2,5.2,2.8,0,57,31,Pink,105,62,1.3,730,Black,Absent,Angular,Rough,9.3,18.55,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3951,54,61.7,Low anthocyanin,Semi-spreading,4.4,3.4,6.2,4,0.2,58,30,Pink,107,34,1.6,540,Black,Absent,Angular,Rough,8.7,19.19,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,NULL,NULL,NULL
3952,53,62.1,High anthocyanin,Semi-spreading,4.8,5.4,4,3,0.2,54,29,Pink,104,63,1.5,1820,Yellow brown,Present,Angular,Rough,14.6,21.28,Moderately resistant,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3953,60,58,Low anthocyanin,Semi-erect,4.6,5.4,6,5,0,60,28,Pink,108,47,1.4,720,Black,Absent,Angular,Rough,9.9,18.01,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3954,45,49.3,Low anthocyanin,Semi-erect,2.3,2.3,2.3,3.3,0.3,60,47,Pink,109,20,1.2,890,Black,Absent,Angular,Rough,11,21,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3955,44,46.3,Low anthocyanin,Semi-spreading,2.3,0.3,1,1.3,NULL,61,43,Pink,116,9,1.3,660,Black,Absent,Angular,Rough,10,20.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3956,62,71.4,Low anthocyanin,Semi-erect,4.6,4.6,3.6,4.6,0.2,60,24,Pink,100,37,1.5,830,Black,Absent,Angular,Rough,10.4,22.09,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3957,44,47.7,Low anthocyanin,Semi-spreading,2.3,3,2,3.3,NULL,61,29,Pink,117,22,1.5,510,Black,Absent,Angular,Rough,9,19.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3959,64,95.7,No anthocyanin,Semi-spreading,6,2.3,3.7,5,2,57,50,Light pink,126,52,1.3,1580,Brownish beige,Absent,Angular,Rough,30,23.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3960,35,27,Low anthocyanin,Semi-erect,2,NULL,2.7,3.7,0.7,83,32,Pink,157,32,1.4,930,Black,Absent,Angular,Rough,10,19.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3961,43,50.3,Low anthocyanin,Semi-spreading,2,3.3,NULL,4.3,NULL,59,39,Pink,114,19,1.3,730,Black,Absent,Angular,Rough,10,18.7,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3962,50,58.2,Low anthocyanin,Semi-spreading,4,5.2,4.8,2.2,0.2,38,41,Pink,92,48,1.4,440,Brown,Present,Angular,Rough,11,23.79,Susceptible,NULL,Susceptible,Moderately susceptible,NULL,2022 PR,36.4,68.1,896.4
3963,42,54.8,Low anthocyanin,Semi-spreading,3.2,2.6,1.8,1,0,54,26,Pink,100,127,1.24,1000,Yellow brown,Present,Angular,Rough,11,NULL,Susceptible,NULL,Susceptible,NULL,NULL,2021 PR,36.4,68.1,896.4
3964,45,42,Low anthocyanin,Semi-spreading,2,2,1,4.7,NULL,61,28,Pink,114,16,1.3,680,Black,Absent,Angular,Rough,10,20.8,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3965,40,34,Low anthocyanin,Semi-erect,2,1.7,1.3,2.7,4,69,46,Pink,159,42,1.6,880,Black,Absent,Angular,Rough,11,18.5,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3966,41,59.7,No anthocyanin,Semi-spreading,3.3,3,1.7,2.3,NULL,63,34,Pink,108,13,1.4,1600,Light brown,Present,Angular,Rough,28,22.8,Susceptible,NULL,Moderately susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3967,33,30.3,Low anthocyanin,Semi-erect,2.7,1,3,3.3,0.7,69,46,Pink,159,35,1.1,670,Black,Absent,Angular,Rough,10,17.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3968,38,42.3,Low anthocyanin,Semi-erect,3,1,4,4.3,0.7,62,29,Pink,110,33,1.2,890,Black,Absent,Angular,Rough,10,22.8,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3969,48,50,Low anthocyanin,Semi-erect,3.3,0.3,4.3,3.3,NULL,66,31,Pink,110,28,1.2,1070,Black,Absent,Angular,Rough,10,23,Susceptible,NULL,Susceptible,Moderately susceptible,NULL,NULL,36.4,68.1,896.4
3970,61,64.2,Low anthocyanin,Semi-erect,4.8,4.4,3.8,3.8,0.2,61,24,Pink,101,44,1,970,Black,Absent,Angular,Rough,11.7,21.83,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3971,57,53.7,Low anthocyanin,Semi-spreading,6,4.8,6.4,4.2,0.6,57,27,Pink,100,28,1.3,930,Black,Absent,Angular,Rough,11.1,19.71,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,NULL,NULL,NULL
3972,48,58.9,Low anthocyanin,Semi-spreading,3.6,5.2,7.4,6,0.4,62,26,Pink,105,38,1,610,Black,Absent,Angular,Rough,8.7,19.44,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3973,45,49,Low anthocyanin,Semi-spreading,2.3,NULL,2.7,2,NULL,67,52,Pink,114,15,1.8,540,Black,Absent,Angular,Rough,9,24.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3974,54,62,Low anthocyanin,Semi-spreading,2.3,0.3,2.3,1.3,NULL,82,30,White,118,10,1.1,720,Beige,Absent,Owl's head,Smooth,22,20.2,Susceptible,Susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3975,51,57.8,No anthocyanin,Semi-spreading,4.2,4.8,7.2,7.8,0.2,60,26,White,105,30,1.3,900,Beige,Absent,Pea,Smooth,19,22.25,Susceptible,Tolerant,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3976,46,62.7,No anthocyanin,Semi-spreading,3.3,1,0.3,3,NULL,70,38,White,114,21,1.1,910,Beige,Absent,Owl's head,Smooth,24,19.2,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3977,53,60.7,No anthocyanin,Semi-spreading,4.2,5.2,4.6,2.6,0.4,55,30,White,101,57,1.3,1100,Beige,Absent,Owl's head,Smooth ,15.6,17.28,Susceptible,Moderately susceptible,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3978,55,62.2,Low anthocyanin,Semi-spreading,6.6,7.6,8.2,9,1.4,60,25,Pink,105,47,1.1,910,Black,Absent,Angular,Rough,9.9,17.97,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3979,43,51.3,Low anthocyanin,Semi-spreading,7,8,8.8,7,0.8,55,30,Pink,105,32,1.3,660,Black,Absent,Angular,Rough,8.1,21.8,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3980,54,55.4,Low anthocyanin,Semi-spreading,4.8,5.2,4.4,4,0,64,28,Pink,110,30,1.4,700,Black ,Absent,Angular,Rough,8.7,18.2,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3981,51,60.1,Low anthocyanin,Semi-spreading,5.6,5,7.2,4.2,0.4,65,21,Pink,105,34,1.6,590,Black,Absent,Angular,Rough,8.3,17.96,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3982,55,53,Low anthocyanin,Semi-spreading,5.6,6.4,7.8,6.2,0.6,54,29,Pink,101,31,1.3,570,Black,Absent,Angular,Rough,9.1,19.89,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3983,46,56,Low anthocyanin,Semi-spreading,2,1.3,1.7,5.7,NULL,70,43,Pink,118,33,1.3,730,Black,Absent,Angular,Rough,10,25.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3984,60,65.2,Low anthocyanin,Semi-spreading,3.6,5,6.4,6.4,0.6,61,29,Pink,111,43,1.2,710,Black,Absent,Angular,Rough,9.7,18.61,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,NULL,NULL,NULL
3985,16,25.3,Low anthocyanin,Semi-erect,1.3,0.7,1.7,1,0.3,52,31,Pink,100,13,1.1,430,Brown,Present,Angular,Rough,13,22.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3986,43,59.7,Low anthocyanin,Semi-spreading,2.7,2.3,1.7,4.3,NULL,67,52,Pink,117,17,1.3,810,Black,Absent,Angular,Rough,10,24.1,Susceptible,NULL,Susceptible,Moderately susceptible,NULL,NULL,36.4,68.1,896.4
3987,36,36,Low anthocyanin,Semi-spreading,2,0.7,1.3,2.3,NULL,59,41,Pink,117,17,1.9,740,Black,Absent,Angular,Rough,8,24.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3988,43,59.7,Low anthocyanin,Semi-spreading,1.7,1,1.7,3,NULL,67,38,Pink,117,16,1.2,830,Black,Absent,Angular,Rough,10,24,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3989,43,54,Low anthocyanin,Semi-spreading,2.3,NULL,4.7,2,NULL,70,40,Pink,118,16,1.3,760,Black,Absent,Angular,Rough,9,22.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3990,35,31.7,Low anthocyanin,Semi-erect,1.7,1,3.7,4.7,4,82,29,Pink,136,40,1.5,870,Black,Absent,Angular,Rough,9,24.4,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3991,34,35.3,Low anthocyanin,Semi-erect,1.7,1.7,2.7,3.7,3.7,71,37,Pink,128,30,1.6,1330,Black,Absent,Angular,Rough,11,23.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3992,48,51.7,Low anthocyanin,Semi-spreading,2,NULL,1,1.3,NULL,67,46,Pink,118,15,1.3,830,Black,Absent,Angular,Rough,9,17.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3993,38,32,Low anthocyanin,Semi-erect,2,2,0.3,3.7,3.7,74,33,Pink,143,31,1.5,1310,Black,Absent,Angular,Rough,12,20.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
3995,28,27.7,Low anthocyanin,Semi-spreading,2.7,NULL,1,4,2.3,73,48,Pink,157,36,1.4,650,Black,Absent,Angular,Rough,10,17.9,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3996,38,36.3,Low anthocyanin,Semi-erect,2.3,1.7,4.3,4.7,4.7,74,34,Pink,136,29,1.6,710,Brown,Present,Angular,Rough,12,23.6,Susceptible,NULL,Susceptible,Susceptible,NULL,NULL,36.4,68.1,896.4
3997,59,61.2,Low anthocyanin,Semi-erect,3.6,6,4,3.4,0.4,61,25,Pink,105,36,1.1,720,Black,Absent,Angular,Rough,9.2,20.17,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
3998,44,53.3,Low anthocyanin,Semi-spreading,2.7,1.7,2,3.7,NULL,70,43,Pink,118,33,1.3,810,Black,Absent,Angular,Rough,9,17.3,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
3999,47,56.3,Low anthocyanin,Semi-spreading,2.3,1.7,2.3,5,NULL,67,42,Pink,118,33,1.5,800,Black,Absent,Angular,Rough,9,24.6,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
4000,51,59.9,Low anthocyanin,Semi-spreading,3.6,6.8,6.6,6.6,0.2,55,25,Pink,100,43,1.1,780,Black,Absent,Angular,Rough,9.6,20.27,Susceptible,NULL,Susceptible,Susceptible,NULL,2022 PR,36.4,68.1,896.4
4001,60,66.8,Low anthocyanin,Semi-spreading,3.6,4.6,3,1.4,0,59,31,Pink,108,29,1.3,760,Black,Absent,Angular,Rough,10.1,20,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
4002,52,61.1,Low anthocyanin,Semi-spreading,3.2,4.8,4.4,7.2,1.2,55,24,Pink,95,66,1.3,650,Black,Absent,Angular,Rough,10.5,22.04,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
4003,65,70.3,Low anthocyanin,Semi-spreading,2.8,4.8,4.2,2.2,0,56,23,Pink,95,55,1.6,1140,Black,Absent,Angular,Rough,11.3,23.33,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,NULL,NULL,NULL
4004,56,61.1,Low anthocyanin,Semi-spreading,4.8,3.8,5.2,2.4,0,63,27,Pink,111,34,1.3,890,Black,Absent,Angular,Rough,9.8,18.62,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,NULL,NULL,NULL
4005,60,64.6,Low anthocyanin,Semi-spreading,4,5,6.4,3.6,0.2,59,26,Pink,103,31,1.4,1070,Black,Absent,Angular,Rough,9.7,18,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,NULL,NULL,NULL
4006,42,49.7,Low anthocyanin,Semi-spreading,2,NULL,0.7,2.3,NULL,67,27,Pink,114,8,1.2,750,Black,Absent,Angular,Rough,9,21.6,Susceptible,NULL,Susceptible,Moderately susceptible,NULL,NULL,NULL,NULL,NULL
4007,48,34,Low anthocyanin,Semi-erect,2.7,0.3,1.3,2,3,80,31,Pink,134,28,1.9,1160,Black,Absent,Angular,Rough,12,19.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
4008,51,61.9,Low anthocyanin,Semi-spreading,3.2,2.2,2.6,2.2,0,62,24,Pink,106,31,1.3,980,Black,Absent,Angular,Rough,10,19.78,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
4009,52,55,Low anthocyanin,Semi-erect,3.3,1,3.3,3.3,0.3,61,44,Pink,110,41,1.3,1290,Black,Absent,Angular,Rough,10,20.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,36.4,68.1,896.4
4010,47,59.8,Low anthocyanin,Semi-spreading,4,7,6.6,8,0.2,60,23,Pink,105,34,1.3,1300,Black,Absent,Angular,Rough,10.9,22.62,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,36.4,68.1,896.4
4011,60,65,Low anthocyanin,Semi-spreading,2.8,5,5.6,6,0,57,31,Pink,107,44,1.4,1150,Black,Absent,Angular,Rough,9.3,19.32,Susceptible,NULL,Susceptible,NULL,NULL,2022 PR,NULL,NULL,NULL
