ICRISAT accession identifier,Accession identifier,Crop,Genotype / Sequencing info,DOI,Mission code,Collectors number,Alternate accession identifier,Local name,Genus,Species,SPAUTHOR,SUBTAXA,SUBTAUTHOR,Cultivar name,Biological status,Collecting source,Donor cooperator code,Donor country,Acquisition Date,Collection Date,Country Source,Province,Collection site,Latitude,Longitude,Elevation,Ec No,FAO in trust,Core,Mini core,Remarks,Registered Date,Temperature,Humidity,Rainfall
7308,ICC 7308,Chickpea,SRR13556387,10.18730/MHCN*,ICRISAT-MISN-N/A,NULL,PI 215702,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Peru,Leoncio Prado,Tingo Maria; Rupa-Rupa district,-9.295278,-75.997543,660,NULL,Yes,Yes,Yes,NULL,NULL,5.8,60,257.6
7309,ICC 7309,Chickpea,NULL,10.18730/MHCP~,ICRISAT-MISN-N/A,NULL,PI 220649,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Afghanistan,Kunduz,Kunduz,36.709999,68.860006,391,NULL,Yes,No,No,NULL,NULL,19.1,90,43
7310,ICC 7310,Chickpea,NULL,10.18730/MHCQ$,ICRISAT-MISN-N/A,NULL,PI 220776,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Afghanistan,Heart,Heart,34.330001,62.020004,NULL,NULL,Yes,No,No,NULL,NULL,12.5,90,205.9
7311,ICC 7311,Chickpea,NULL,10.18730/MHCR=,ICRISAT-MISN-N/A,NULL,PI 222771,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Iran,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,8.3,NULL,224.3
7312,ICC 7312,Chickpea,NULL,10.18730/MHCSU,ICRISAT-MISN-N/A,NULL,PI 223762,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Afghanistan,Badakhshan,Yakatal,36.3916,67.1716,NULL,NULL,Yes,No,No,NULL,NULL,NULL,89,NULL
7313,ICC 7313,Chickpea,NULL,10.18730/MHCT0,ICRISAT-MISN-N/A,NULL,PI 239859,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Italy,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,12.2,NULL,199.1
7314,ICC 7314,Chickpea,NULL,10.18730/MHCV1,ICRISAT-MISN-N/A,NULL,PI 244332,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Ethiopia,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7315,ICC 7315,Chickpea,SRR13556205,10.18730/MHCW2,ICRISAT-MISN-N/A,NULL,PI 249981,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Iran,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL
7316,ICC 7316,Chickpea,NULL,10.18730/MHCX3,ICRISAT-MISN-N/A,NULL,PI 249982,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Iran,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7317,ICC 7317,Chickpea,NULL,10.18730/MHCY4,ICRISAT-MISN-N/A,NULL,PI 251024,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Afghanistan,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7318,ICC 7318,Chickpea,NULL,10.18730/MHCZ5,ICRISAT-MISN-N/A,NULL,PI 251025,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Iran,NULL,NULL,NULL,NULL,NULL,NULL,No,No,No,NULL,NULL,NULL,NULL,NULL
7319,ICC 7319,Chickpea,NULL,10.18730/MHD06,ICRISAT-MISN-N/A,NULL,PI 251026,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Iran,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7320,ICC 7320,Chickpea,NULL,10.18730/MHD17,ICRISAT-MISN-N/A,NULL,PI 251027,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Iran,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7321,ICC 7321,Chickpea,NULL,10.18730/MHD28,ICRISAT-MISN-N/A,NULL,PI 251514,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Iran,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7322,ICC 7322,Chickpea,NULL,10.18730/MHD39,ICRISAT-MISN-N/A,NULL,PI 251781,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Russian Federation,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7323,ICC 7323,Chickpea,SRR13556386,10.18730/MHD4A,ICRISAT-MISN-N/A,NULL,PI 251783,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Russian Federation,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,Yes,NULL,NULL,NULL,NULL,NULL
7324,ICC 7324,Chickpea,NULL,10.18730/MHD5B,ICRISAT-MISN-N/A,NULL,K 1864; PI 253226,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Turkey,Eskisehir,Eskisehir,39.776667,30.505561,917,NULL,Yes,No,No,NULL,NULL,NULL,95,NULL
7325,ICC 7325,Chickpea,NULL,10.18730/MHD6C,ICRISAT-MISN-N/A,NULL,PI 253227,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Turkey,Bursa,Bursa,40.266864,29.063448,108,NULL,No,No,No,NULL,NULL,8.4,102,205.4
7326,ICC 7326,Chickpea,SRR13556385,10.18730/MHD7D,ICRISAT-MISN-N/A,NULL,PI 254528,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,No,NULL,NULL,1.4,NULL,178.1
7327,ICC 7327,Chickpea,NULL,10.18730/MHD8E,ICRISAT-MISN-N/A,NULL,PI 254547,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Syria,NULL,NULL,NULL,NULL,NULL,NULL,No,No,No,NULL,NULL,NULL,NULL,NULL
7328,ICC 7328,Chickpea,NULL,10.18730/MHD9F,ICRISAT-MISN-N/A,NULL,PI 254548,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Syria,NULL,Damascus,33.511111,36.299999,697,NULL,Yes,No,No,NULL,NULL,NULL,94,NULL
7329,ICC 7329,Chickpea,NULL,10.18730/MHDAG,ICRISAT-MISN-N/A,NULL,PI 254549,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Iraq,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,9.6,NULL,245.2
7330,ICC 7330,Chickpea,NULL,10.18730/MHDBH,ICRISAT-MISN-N/A,NULL,PI 254550,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Afghanistan,Kabul,Kabul,34.528455,69.171703,1800,NULL,Yes,No,No,NULL,NULL,NULL,86,NULL
7331,ICC 7331,Chickpea,NULL,10.18730/MHDCJ,ICRISAT-MISN-N/A,NULL,PI 254889,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Spain,Toledo,Talavera de la Reina,39.962884,-4.830454,378,NULL,Yes,No,No,NULL,NULL,13,103,197
7332,ICC 7332,Chickpea,NULL,10.18730/MHDDK,ICRISAT-MISN-N/A,NULL,PI 256059,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,No,No,No,NULL,NULL,4.9,NULL,183
7333,ICC 7333,Chickpea,NULL,10.18730/MHDEM,ICRISAT-MISN-N/A,NULL,PI 257383,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7334,ICC 7334,Chickpea,NULL,10.18730/MHDFN,ICRISAT-MISN-N/A,NULL,PI 268376,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Afghanistan,Kabul,Kabul,34.528455,69.171703,1800,NULL,Yes,No,No,NULL,NULL,NULL,86,NULL
7335,ICC 7335,Chickpea,NULL,10.18730/MHDGP,ICRISAT-MISN-N/A,NULL,PI 273879,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Ethiopia,Harari,Harar,9.311111,42.127778,1885,NULL,Yes,No,No,NULL,NULL,13,85,197
7336,ICC 7336,Chickpea,NULL,10.18730/MHDHQ,ICRISAT-MISN-N/A,NULL,PI 273880,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Ethiopia,Shewa,Addis Ababa,9.022736,38.746799,2440,NULL,Yes,No,No,NULL,NULL,18.5,86,184.2
7337,ICC 7337,Chickpea,NULL,10.18730/MHDJR,ICRISAT-MISN-N/A,NULL,PI 310479,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,21.6,NULL,161.7
7338,ICC 7338,Chickpea,SRR12918592,10.18730/MHDKS,ICRISAT-MISN-N/A,NULL,PI 331381,Shimbra,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Ethiopia,NULL,Debre Berhan,9.683333,39.533333,2826,NULL,Yes,Yes,No,NULL,NULL,NULL,83,NULL
7339,ICC 7339,Chickpea,NULL,10.18730/MHDMT,ICRISAT-MISN-N/A,NULL,PI 339162,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,22.5,NULL,197.1
7340,ICC 7340,Chickpea,NULL,10.18730/MHDNV,ICRISAT-MISN-N/A,NULL,PI 339166,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Turkey,NULL,NULL,NULL,NULL,NULL,NULL,No,No,No,Historical,NULL,NULL,NULL,NULL
7341,ICC 7341,Chickpea,NULL,10.18730/MHDPW,ICRISAT-MISN-N/A,NULL,PI 339182,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,No,No,No,Historical,NULL,NULL,NULL,NULL
7342,ICC 7342,Chickpea,NULL,10.18730/MHDQX,ICRISAT-MISN-N/A,NULL,PI 339202,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Turkey,NULL,NULL,NULL,NULL,NULL,NULL,No,No,No,Historical,NULL,NULL,NULL,NULL
7343,ICC 7343,Chickpea,NULL,10.18730/MHDRY,ICRISAT-MISN-N/A,NULL,PI 339222,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Turkey,NULL,NULL,NULL,NULL,NULL,NULL,No,No,No,Historical,NULL,NULL,NULL,NULL
7344,ICC 7344,Chickpea,SRR13014926,10.18730/MHDSZ,ICRISAT-MISN-N/A,NULL,Angostura,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Breeding/Research material,"Institute, Experimental station, Research",ICRISAT-COOP-0631,Not applicable,00:00.0,NULL,Mexico,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7345,ICC 7345,Chickpea,NULL,10.18730/MHDT*,ICRISAT-MISN-N/A,NULL,Bremizado,NULL,Cicer,arietinum,L.,NULL,NULL,Bremizado,Breeding/Research material,"Institute, Experimental station, Research",ICRISAT-COOP-0631,Not applicable,00:00.0,NULL,Mexico,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7346,ICC 7346,Chickpea,SRR12918954,10.18730/MHDV~,ICRISAT-MISN-N/A,NULL,Culiacancito (860),NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Breeding/Research material,"Institute, Experimental station, Research",ICRISAT-COOP-0631,Not applicable,00:00.0,NULL,Mexico,NULL,NULL,NULL,NULL,NULL,NULL,Yes,Yes,No,NULL,NULL,NULL,NULL,NULL
7347,ICC 7347,Chickpea,NULL,10.18730/MHDW$,ICRISAT-MISN-N/A,NULL,Guamuchil (916),NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Breeding/Research material,"Institute, Experimental station, Research",ICRISAT-COOP-0631,Not applicable,00:00.0,NULL,Mexico,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7348,ICC 7348,Chickpea,NULL,10.18730/MHDX=,ICRISAT-MISN-N/A,NULL,AL 52/199-3805-430-8 (Isreal),NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Breeding/Research material,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Israel,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7349,ICC 7349,Chickpea,NULL,10.18730/MHDYU,ICRISAT-MISN-N/A,NULL,Betdagan 9-31,NULL,Cicer,arietinum,L.,NULL,NULL,Betdagan 9-31,Breeding/Research material,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Israel,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7350,ICC 7350,Chickpea,NULL,10.18730/MHDZ0,ICRISAT-MISN-N/A,NULL,Betdagan 12-26,NULL,Cicer,arietinum,L.,NULL,NULL,Betdagan 12-26,Breeding/Research material,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Israel,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7351,ICC 7351,Chickpea,NULL,10.18730/MHE01,ICRISAT-MISN-N/A,NULL,Betdagan 302,NULL,Cicer,arietinum,L.,NULL,NULL,Betdagan 302,Breeding/Research material,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Israel,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7352,ICC 7352,Chickpea,NULL,10.18730/MHE12,ICRISAT-MISN-N/A,NULL,M 43/199-3027-196-10,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Breeding/Research material,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Israel,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7353,ICC 7353,Chickpea,NULL,10.18730/MHE23,ICRISAT-MISN-N/A,NULL,M 43/E100-772-68-2,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Breeding/Research material,"Institute, Experimental station, Research",ICRISAT-COOP-0624,Not applicable,00:00.0,NULL,Israel,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7354,ICC 7354,Chickpea,NULL,10.18730/MHE34,ICRISAT-MISN-N/A,NULL,1845,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7355,ICC 7355,Chickpea,NULL,10.18730/MHE45,ICRISAT-MISN-N/A,NULL,1917,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7356,ICC 7356,Chickpea,NULL,10.18730/MHE56,ICRISAT-MISN-N/A,NULL,1993,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7357,ICC 7357,Chickpea,NULL,10.18730/MHE67,ICRISAT-MISN-N/A,NULL,1994,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7358,ICC 7358,Chickpea,NULL,10.18730/MHE78,ICRISAT-MISN-N/A,NULL,2088,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7359,ICC 7359,Chickpea,NULL,10.18730/MHE89,ICRISAT-MISN-N/A,NULL,2098,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7360,ICC 7360,Chickpea,NULL,10.18730/MHE9A,ICRISAT-MISN-N/A,NULL,2417,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7361,ICC 7361,Chickpea,NULL,10.18730/MHEAB,ICRISAT-MISN-N/A,NULL,2517,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7362,ICC 7362,Chickpea,NULL,10.18730/MHEBC,ICRISAT-MISN-N/A,NULL,2987,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7363,ICC 7363,Chickpea,NULL,10.18730/MHECD,ICRISAT-MISN-N/A,NULL,3167,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7364,ICC 7364,Chickpea,NULL,10.18730/MHEDE,ICRISAT-MISN-N/A,NULL,3427,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7365,ICC 7365,Chickpea,NULL,10.18730/MHEEF,ICRISAT-MISN-N/A,NULL,3697,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7366,ICC 7366,Chickpea,NULL,10.18730/MHEFG,ICRISAT-MISN-N/A,NULL,3987,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7367,ICC 7367,Chickpea,NULL,10.18730/MHEGH,ICRISAT-MISN-N/A,NULL,4274,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7368,ICC 7368,Chickpea,NULL,10.18730/MHEHJ,ICRISAT-MISN-N/A,NULL,4314,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7369,ICC 7369,Chickpea,NULL,10.18730/MHEJK,ICRISAT-MISN-N/A,NULL,4844,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7370,ICC 7370,Chickpea,NULL,10.18730/MHEKM,ICRISAT-MISN-N/A,NULL,4884,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7371,ICC 7371,Chickpea,NULL,10.18730/MHEMN,ICRISAT-MISN-N/A,NULL,4944,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7372,ICC 7372,Chickpea,NULL,10.18730/MHENP,ICRISAT-MISN-N/A,NULL,4964,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7373,ICC 7373,Chickpea,NULL,10.18730/MHEPQ,ICRISAT-MISN-N/A,NULL,4974,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7374,ICC 7374,Chickpea,NULL,10.18730/MHEQR,ICRISAT-MISN-N/A,NULL,5274,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7375,ICC 7375,Chickpea,NULL,10.18730/MHERS,ICRISAT-MISN-N/A,NULL,5334,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
7376,ICC 7376,Chickpea,NULL,10.18730/MHEST,ICRISAT-MISN-N/A,NULL,5344,NULL,Cicer,arietinum,L.,NULL,NULL,NULL,Traditional cultivar/Landrace,"Institute, Experimental station, Research",ICRISAT-COOP-0909,India,00:00.0,NULL,India,NULL,NULL,NULL,NULL,NULL,NULL,Yes,No,No,NULL,NULL,NULL,NULL,NULL
